median.0	median.1	median.2	sd.0	sd.1	sd.2
-3.31692616	-0.291225639544776	0.122102694294286	0.387322023336939	0.12310029681842	0.0985949385595165
-0.142411838018182	-0.162957292419149	0.0181098120407732	0.263296048090946	0.125095608004102	0.0438955695297091
-0.111493235	-0.249476928804348	0.025261744703856	0.335735210318513	0.116800380447836	0.0509573889905265
-0.17874030741	-0.22928529026	0.0290089070909737	0.531485002736954	0.154940805524757	0.0547202946575435
-0.21550882122	-0.240808740392727	0.0297488705895789	0.630172842798392	0.16219496661884	0.0564872989134013
-1.28346478833333	-0.280264476371681	0.103836861584424	0.154930387136656	0.0988678037225598	0.122048925746647
-4.0434525	-0.29551321568595	0.0981535558724204	0.340804073645688	0.0613111487740333	0.0573362970094334
-3.02934421428571	-0.266675763370711	0.234946836056604	0.289059329016972	0.234677338742923	0.120976298847525
-3.31956884545455	-0.373224910513529	0.106656437369565	0.370630319387436	0.127054222589963	0.143695699979092
-3.42629555909091	-0.258719270129371	0.124286797139502	0.419007649997752	0.119089007544514	0.0874969893825593
-3.3750906547619	-0.348890805315574	0.114406257796254	0.275667681870895	0.0699905558053152	0.0497363961091722
-0.278226896642857	-0.0111488677973728	0.0916002941657895	0.124873388340535	0.0324921728731735	0.0521810998477114
-2.72720982090909	-0.405530227927928	0.10724545869891	0.832982253200275	0.0971963827687651	0.0779866558460207
-2.35820997859524	-0.279991147761135	0.270350520668286	0.527436800568792	0.14582523823224	0.125305852434017
-3.19927304210526	-0.448077142138365	0.21382227491791	0.473089122191956	0.14700707805269	0.105067851080642
-0.0115238031471577	0.0184090901938798	0.024347108655	0.0397543922614294	0.0360288404411358	0.0371223792655485
-3.052284084	-0.38801903944012	0.205451317830118	0.405426489888944	0.14365974297018	0.111623209588775
-2.72218860178571	-0.0694306135870795	0.229527913977273	0.330524352032205	0.200166190623347	0.0299765810803081
-0.0123474455354167	-0.0053463729160916	0.00606976097959828	0.0415197853496588	0.0425993185390405	0.0351092104993553
-3.38347654545455	-0.30468615607362	0.163057631118659	0.35498262314607	0.0919684944080906	0.112387000484209
-3.24570495833333	-0.401712303780488	0.0831281581954545	0.468596641748864	0.103701855784616	0.112077223662619
-2.4224454625	-0.34871281164557	0.0667064954267606	0.173198295519541	0.117703684809906	0.0963331480608943
-0.332663801538462	-0.00247741778294906	0.193999765042553	0.064961538540678	0.0505148303102018	0.0729725447464847
-0.387568427307692	0.000374165177093023	0.256466719545455	0.0709806072227633	0.0675341989893006	0.0653613272620848
-0.0363780422739337	0.0302526830370984	0.0534741835914634	0.0668506209480848	0.0555373039361169	0.080076816107927
-4.06111084677419	-0.240326320051196	0.240717011715749	0.411183741007096	0.113409771183281	0.106991759246223
-0.0481991076736364	-0.000110412012341108	0.0222060406956522	0.0905665994040156	0.0572547634581066	0.050387938102978
-0.0142880742290404	0.00390771921978799	0.0159141689557143	0.0478658688796321	0.0475596783767351	0.0445206520843566
-0.0134003900547335	0.0157281499106145	0.02460745675625	0.0401763643976362	0.0394121317775024	0.0616488259281603
-3.58118498928571	-0.4034241181	0.0928611336620856	0.336496190013678	0.0852759858228244	0.0672330138098738
-3.61248493023256	-0.249131595153846	0.171481288140271	0.398074725918742	0.0697481123903577	0.0561740813207997
-0.0266529724192647	0.00546619914675347	0.0198891502919786	0.0306883728642044	0.0339392784434674	0.0315552997470523
-1.14632825680851	-0.441061198028169	0.157610050696037	0.16747457054735	0.172483728050691	0.156710362205241
-2.79018164210526	-0.39702699816	0.131515163397351	0.310904259647997	0.119926087283888	0.111047078656433
-3.30405624375	-0.31843384450495	0.0804640508946636	0.306428906891677	0.079354270067193	0.0597486543940666
0.01547090475	0.00201979487838192	0.009835753740865	0.0679423957289493	0.0383967177979641	0.0409729720770681
-0.0114041692876484	0.0130148428752423	0.0149135164951807	0.0281186574624151	0.0270591829336906	0.0336914068733701
-0.246412090801862	0.0989931552121827	0.277219100318333	0.15779020566483	0.0744117056735718	0.0693997596343301
4.79815472916662e-05	-0.0126657106424084	0.0222247784771981	0.035890223784222	0.0387860490944435	0.0419029016498775
-0.631217342551887	-0.177558918589732	0.103191155306762	0.149147215275931	0.175898469129452	0.131709377032628
-3.3776122625	-0.428066710752756	0.142805585486465	0.491864994987151	0.146275605287173	0.0979182297647318
-0.00358314666666667	-0.00452748787291667	-0.00148529986961301	0.0181638245042039	0.0387349982370623	0.0247576579746523
-3.18940246363636	-0.371854106478873	0.141867100844521	0.327068572226016	0.0972600376103777	0.080245462804045
